tconst	averageRating	numVotes
tt0001111	4.4	9
tt0001112	3.7	20
tt0001113	5.6	7
tt0001115	4.7	10
tt0001116	4.9	9
tt0001117	5.5	8
tt0001118	5.5	135
tt0001120	5.7	163
tt0001121	4.6	13
tt0001122	5.3	7
tt0001129	5.0	15
tt0001135	4.8	20
tt0001139	4.8	12
tt0001143	4.7	12
tt0001144	4.8	12
tt0001145	5.0	6
tt0001150	5.4	68
tt0001151	4.7	14
tt0001152	4.7	16
tt0001153	4.5	11
tt0001156	4.3	9
tt0001159	5.6	7
tt0001161	4.5	10
tt0001165	4.4	7
tt0001175	5.8	22
tt0001176	4.2	8
tt0001184	3.4	11
tt0001185	7.0	14
tt0001186	5.5	47
tt0001187	4.4	8
tt0001190	6.6	8
tt0001195	4.0	6
tt0001200	4.5	14
tt0001202	4.6	7
tt0001206	6.0	10
tt0001207	5.7	90
tt0001211	5.5	30
tt0001216	4.6	8
tt0001217	5.8	51
tt0001218	5.4	84
tt0001223	6.4	3745
tt0001227	5.9	200
tt0001230	5.0	7
tt0001233	8.6	5
tt0001234	5.4	12
tt0001235	5.0	23
tt0001236	4.6	11
tt0001237	4.7	33
tt0001240	3.9	11
tt0001241	5.1	9
tt0001242	6.0	11
tt0001245	5.7	47
tt0001253	4.8	6
tt0001254	3.8	6
tt0001256	5.9	473
tt0001258	5.8	98
tt0001262	5.2	11
tt0001264	7.0	43
tt0001265	6.4	467
tt0001277	4.6	13
tt0001280	4.7	19
tt0001282	7.3	15
tt0001283	6.2	11
tt0001284	4.9	28
tt0001285	5.3	28
tt0001292	4.9	41
tt0001294	6.2	6
tt0001299	4.2	8
tt0001303	6.0	7
tt0001306	4.2	6
tt0001307	5.5	6
tt0001310	5.3	14
tt0001314	5.8	142
tt0001315	6.2	12
tt0001321	5.3	31
tt0001326	5.6	39
tt0001330	6.2	21
tt0001332	5.3	17
tt0001333	5.6	32
tt0001334	6.0	5
tt0001337	5.8	31
tt0001338	5.3	6
tt0001340	5.1	79
tt0001351	6.2	42
tt0001358	4.2	14
tt0001370	5.2	13
tt0001371	6.0	360
tt0001377	4.8	20
tt0001378	6.0	189
tt0001380	3.2	6
tt0001381	5.6	25
tt0001385	5.5	41
tt0001386	4.6	7
tt0001387	5.9	15
tt0001388	5.7	66
tt0001396	2.9	7
tt0001400	6.4	8
tt0001401	6.1	16
tt0001407	5.9	7
tt0001410	3.9	7
tt0001414	6.5	35
tt0001423	4.1	10
tt0001428	5.2	34
tt0001431	6.4	650
tt0001432	5.7	15
tt0001439	5.9	216
tt0001440	4.7	11
tt0001443	5.0	6
tt0001444	3.3	19
tt0001446	5.3	7
tt0001452	5.4	161
tt0001454	5.4	17
tt0001456	8.5	8
tt0001458	5.9	144
tt0001459	5.5	43
tt0001460	2.9	7
tt0001461	6.1	15
tt0001463	5.7	1399
tt0001469	5.9	78
tt0001475	7.3	14
tt0001481	5.9	12
tt0001482	5.1	27
tt0001488	6.3	410
tt0001490	4.7	13
tt0001496	4.2	40
tt0001497	7.2	5
tt0001498	7.7	6
tt0001499	5.6	273
tt0001500	5.7	6
tt0001508	5.0	13
tt0001510	5.3	28
tt0001517	5.6	14
tt0001518	5.7	7
tt0001519	5.3	26
tt0001527	7.7	2583
tt0001529	4.5	11
tt0001530	6.0	9
tt0001531	4.6	7
tt0001532	4.7	9
tt0001542	4.0	8
tt0001544	6.0	601
tt0001545	6.1	105
tt0001550	5.5	36
tt0001551	5.2	84
tt0001552	4.8	13
tt0001557	4.9	61
tt0001560	4.0	12
tt0001563	5.8	32
tt0001564	4.1	8
tt0001571	4.4	7
tt0001577	4.4	7
tt0001582	4.4	9
tt0001583	5.6	10
tt0001586	3.8	6
tt0001587	3.9	15
tt0001588	5.5	146
tt0001592	5.3	6
tt0001593	6.3	303
tt0001594	6.4	266
tt0001598	5.7	15
tt0001607	5.7	40
tt0001613	5.2	118
tt0001614	6.2	18
tt0001615	4.9	14
tt0001618	6.6	7
tt0001624	4.9	38
tt0001630	5.7	17
tt0001632	6.4	38
tt0001642	5.2	29
tt0001654	5.4	26
tt0001655	4.0	9
tt0001658	5.5	11
tt0001659	6.6	8
tt0001660	5.6	176
tt0001668	4.2	24
tt0001671	5.0	23
tt0001680	5.1	531
tt0001681	4.8	231
tt0001692	5.3	7
tt0001693	7.1	11
tt0001695	4.8	42
tt0001696	3.7	6
tt0001701	4.6	61
tt0001706	4.5	6
tt0001709	5.7	24
tt0001715	3.1	7
tt0001717	3.4	14
tt0001722	3.7	6
tt0001724	5.8	220
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.2	13
tt0001737	7.0	1541
tt0001738	7.2	23
tt0001740	6.5	1076
tt0001741	4.4	13
tt0001742	5.7	6
tt0001747	4.8	13
tt0001753	5.1	8
tt0001761	4.3	6
tt0001762	4.8	57
tt0001769	5.3	48
tt0001771	5.5	124
tt0001772	5.6	7
tt0001776	6.7	171
tt0001777	5.0	9
tt0001779	7.0	9
tt0001787	8.5	6
tt0001789	6.4	231
tt0001790	6.0	18
tt0001799	4.7	10
tt0001803	4.0	7
tt0001812	6.3	6
tt0001815	6.7	19
tt0001817	5.4	69
tt0001832	5.6	43
tt0001840	5.1	27
tt0001845	5.1	7
tt0001848	4.3	30
tt0001852	4.9	8
tt0001856	4.6	34
tt0001857	5.6	191
tt0001862	5.4	31
tt0001865	6.1	48
tt0001868	5.4	8
tt0001871	4.7	39
tt0001872	7.4	19
tt0001874	7.8	5
tt0001877	5.3	53
tt0001889	4.0	8
tt0001892	5.8	192
tt0001896	5.1	55
tt0001910	5.4	52
tt0001911	5.0	7
tt0001913	5.6	191
tt0001915	5.8	88
tt0001923	7.2	16
tt0001924	4.7	6
tt0001925	5.2	28
tt0001926	4.5	6
tt0001927	4.3	6
tt0001928	4.6	39
tt0001941	5.1	67
tt0001949	5.6	17
tt0001956	6.1	7
tt0001957	5.0	44
tt0001963	5.4	122
tt0001964	6.0	60
tt0001967	5.9	8
tt0001969	4.7	6
tt0001973	6.1	244
tt0001978	5.8	12
tt0001987	6.2	12
tt0001989	4.3	6
tt0001993	4.0	10
tt0001998	4.4	19
tt0002020	4.8	106
tt0002026	4.0	6
tt0002029	6.2	42
tt0002031	4.8	9
tt0002033	5.5	32
tt0002034	5.2	33
tt0002041	3.9	14
tt0002045	4.2	72
tt0002054	5.8	139
tt0002056	6.8	131
tt0002064	4.8	37
tt0002065	6.2	31
tt0002066	3.8	55
tt0002068	5.1	14
tt0002070	4.9	28
tt0002071	4.0	8
tt0002078	5.1	27
tt0002082	6.2	327
tt0002083	6.0	224
tt0002093	4.6	11
tt0002095	4.9	11
tt0002096	3.8	8
tt0002097	4.2	11
tt0002098	5.7	119
tt0002101	5.2	461
tt0002107	4.8	15
tt0002113	6.9	858
tt0002114	3.9	8
tt0002121	4.9	16
tt0002122	6.1	262
tt0002124	5.1	321
tt0002126	6.5	54
tt0002130	7.1	2409
tt0002132	5.7	7
tt0002133	5.7	162
tt0002136	5.8	68
tt0002139	5.6	11
tt0002143	5.9	557
tt0002144	5.1	14
tt0002145	8.7	7
tt0002151	5.0	23
tt0002153	5.7	45
tt0002159	4.2	26
tt0002160	6.4	81
tt0002162	4.5	45
tt0002167	5.0	10
tt0002172	4.8	11
tt0002176	5.9	251
tt0002177	5.6	26
tt0002179	3.8	23
tt0002181	6.2	154
tt0002186	6.3	93
tt0002190	6.1	337
tt0002196	4.4	11
tt0002197	5.6	227
tt0002198	6.3	19
tt0002199	5.7	505
tt0002200	6.2	76
tt0002202	4.7	11
tt0002203	4.9	43
tt0002206	5.5	14
tt0002208	6.7	1103
tt0002212	5.2	13
tt0002214	6.0	20
tt0002216	5.6	16
tt0002220	4.0	12
tt0002221	6.8	353
tt0002224	5.1	124
tt0002226	5.8	47
tt0002230	6.5	78
tt0002232	5.4	42
tt0002233	4.6	117
tt0002234	8.5	13
tt0002253	3.7	6
tt0002255	4.5	34
tt0002259	5.0	9
tt0002260	6.3	1097
tt0002261	5.8	20
tt0002266	6.3	6
tt0002268	5.1	7
tt0002273	4.8	15
tt0002277	6.3	18
tt0002278	4.9	17
tt0002280	4.9	30
tt0002281	6.1	267
tt0002282	5.6	28
tt0002287	4.4	5
tt0002290	5.3	43
tt0002293	3.8	9
tt0002295	7.4	5
tt0002300	6.1	9
tt0002302	6.0	33
tt0002303	5.7	157
tt0002305	7.6	17
tt0002309	8.9	11
tt0002318	5.6	16
tt0002320	3.6	8
tt0002329	5.2	20
tt0002332	4.9	19
tt0002340	5.9	43
tt0002342	5.9	67
tt0002349	5.3	12
tt0002350	6.4	275
tt0002354	6.2	130
tt0002355	6.0	51
tt0002357	6.2	186
tt0002369	6.2	42
tt0002370	5.9	7
tt0002371	6.5	10
tt0002374	6.2	8
tt0002380	5.1	10
tt0002381	6.6	2041
tt0002382	6.1	10
tt0002386	5.8	129
tt0002387	4.6	32
tt0002391	6.4	790
tt0002392	5.5	6
tt0002394	7.8	5
tt0002398	5.4	35
tt0002399	4.2	15
tt0002400	5.6	214
tt0002402	7.7	6
tt0002405	5.3	19
tt0002406	5.5	10
tt0002408	6.3	278
tt0002409	6.1	9
tt0002415	5.9	527
tt0002421	6.0	98
tt0002423	6.8	776
tt0002429	6.3	154
tt0002434	9.2	6
tt0002437	9.0	7
tt0002440	3.8	16
tt0002441	5.6	14
tt0002443	4.1	10
tt0002445	6.2	295
tt0002449	6.4	47
tt0002451	8.5	10
tt0002452	6.6	210
tt0002461	5.6	229
tt0002465	5.7	25
tt0002473	6.5	66
tt0002475	7.0	80
tt0002477	5.8	9
tt0002478	5.4	38
tt0002484	5.5	47
tt0002497	6.3	80
tt0002500	5.9	7
tt0002501	4.2	28
tt0002504	5.0	41
tt0002505	4.5	12
tt0002506	5.6	19
tt0002512	6.2	341
tt0002514	4.2	9
tt0002515	4.9	11
tt0002521	5.1	23
tt0002523	5.7	75
tt0002528	4.9	42
tt0002529	4.4	9
tt0002531	6.2	8
tt0002532	5.9	73
tt0002533	5.1	61
tt0002535	4.7	35
tt0002536	5.4	38
tt0002538	5.3	6
tt0002542	5.6	12
tt0002544	6.0	168
tt0002545	7.4	7
tt0002546	7.4	14
